[TYPE];[IDENT];[CLASS];[COMBINATION];[LENGTH];[CLIMB];[START];[CTRL1]; â€¦ ;[CTRLn];[FINISH];
Relay;H101;H 1. osuus;H1ADF;;;V1;L1;81;76;71;53;43;32;72;34;44;73;47;50;36;100;V2;M1
Relay;H102;H 1. osuus;H1ADG;;;V1;L1;81;76;71;53;43;32;72;34;44;73;47;31;58;100;V2;M1
Relay;H103;H 1. osuus;H1AEF;;;V1;L1;81;76;71;38;39;55;72;34;44;73;47;50;36;100;V2;M1
Relay;H104;H 1. osuus;H1AEG;;;V1;L1;81;76;71;38;39;55;72;34;44;73;47;31;58;100;V2;M1
Relay;H105;H 1. osuus;H1BDF;;;V1;L1;70;80;71;53;43;32;72;34;44;73;47;50;36;100;V2;M1
Relay;H106;H 1. osuus;H1BDG;;;V1;L1;70;80;71;53;43;32;72;34;44;73;47;31;58;100;V2;M1
Relay;H107;H 1. osuus;H1BEF;;;V1;L1;70;80;71;38;39;55;72;34;44;73;47;50;36;100;V2;M1
Relay;H108;H 1. osuus;H1BEG;;;V1;L1;70;80;71;38;39;55;72;34;44;73;47;31;58;100;V2;M1
Relay;H109;H 1. osuus;H1CDF;;;V1;L1;75;77;71;53;43;32;72;34;44;73;47;50;36;100;V2;M1
Relay;H110;H 1. osuus;H1CDG;;;V1;L1;75;77;71;53;43;32;72;34;44;73;47;31;58;100;V2;M1
Relay;H111;H 1. osuus;H1CEF;;;V1;L1;75;77;71;38;39;55;72;34;44;73;47;50;36;100;V2;M1
Relay;H112;H 1. osuus;H1CEG;;;V1;L1;75;77;71;38;39;55;72;34;44;73;47;31;58;100;V2;M1
Relay;H201;H 2. osuus;H2AHF;;;V1;L1;81;76;71;37;60;40;48;73;47;50;36;100;V2;M1
Relay;H202;H 2. osuus;H2AHG;;;V1;L1;81;76;71;37;60;40;48;73;47;31;58;100;V2;M1
Relay;H203;H 2. osuus;H2AIF;;;V1;L1;81;76;71;37;60;35;48;73;47;50;36;100;V2;M1
Relay;H204;H 2. osuus;H2AIG;;;V1;L1;81;76;71;37;60;35;48;73;47;31;58;100;V2;M1
Relay;H205;H 2. osuus;H2BHF;;;V1;L1;70;80;71;37;60;40;48;73;47;50;36;100;V2;M1
Relay;H206;H 2. osuus;H2BHG;;;V1;L1;70;80;71;37;60;40;48;73;47;31;58;100;V2;M1
Relay;H207;H 2. osuus;H2BIF;;;V1;L1;70;80;71;37;60;35;48;73;47;50;36;100;V2;M1
Relay;H208;H 2. osuus;H2BIG;;;V1;L1;70;80;71;37;60;35;48;73;47;31;58;100;V2;M1
Relay;H209;H 2. osuus;H2CHF;;;V1;L1;75;77;71;37;60;40;48;73;47;50;36;100;V2;M1
Relay;H210;H 2. osuus;H2CHG;;;V1;L1;75;77;71;37;60;40;48;73;47;31;58;100;V2;M1
Relay;H211;H 2. osuus;H2CIF;;;V1;L1;75;77;71;37;60;35;48;73;47;50;36;100;V2;M1
Relay;H212;H 2. osuus;H2CIG;;;V1;L1;75;77;71;37;60;35;48;73;47;31;58;100;V2;M1
Relay;H301;H 3. osuus;H3ADH;;;V1;L1;81;76;71;53;43;32;72;41;60;40;48;73;47;46;51;54;84;100;V2;M1
Relay;H302;H 3. osuus;H3AEH;;;V1;L1;81;76;71;38;39;55;72;41;60;40;48;73;47;46;51;54;84;100;V2;M1
Relay;H303;H 3. osuus;H3BDI;;;V1;L1;70;80;71;53;43;32;72;41;60;35;48;73;47;46;51;54;84;100;V2;M1
Relay;H304;H 3. osuus;H3BEI;;;V1;L1;70;80;71;38;39;55;72;41;60;35;48;73;47;46;51;54;84;100;V2;M1
Relay;H305;H 3. osuus;H3CDH;;;V1;L1;75;77;71;53;43;32;72;41;60;40;48;73;47;46;51;54;84;100;V2;M1
Relay;H306;H 3. osuus;H3CEH;;;V1;L1;75;77;71;38;39;55;72;41;60;40;48;73;47;46;51;54;84;100;V2;M1